Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
250711,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Sintilimab Combined With Fruquintinib/Regorafenib ± Radiotherapy for Third-line Treatment of Advanced Metastatic Colorectal Cancer,"A Randomized, Controlled, Multicenter Phase II Clinical Study of Sintilimab Combined With Fruquintinib/Regorafenib ± Radiotherapy for Third-line Treatment of Advanced Metastatic Colorectal Cancer.",RECRUITING,2024-04-01,ADULT OLDER_ADULT,"Colorectal Cancer, Immunotherapy, Radiotherapy, Targeted Therapy",TREATMENT,Sintilimab,Immunotherapy,INTERVENTIONAL,PHASE2,Progression-free survival (PFS),Colorectal Neoplasms,PHASE2,sintilimab,RECRUITING,0
250807,Blokhin's Russian Cancer Research Center,OTHER,SPONSOR,FOLFIRINOX vs FLOT Chemotherapy for Resectable Gastric or Esophagogastric Junction Adenocarcinoma,Perioperative Chemotherapy With FOLFIRINOX Regimen or FLOT Regimen for Resectable Gastric or Esophagogastric Junction Adenocarcinoma (Type II-III): Open-label Randomized Phase 2/3 Trial,RECRUITING,2019-01-29,ADULT OLDER_ADULT,"Stomach Neoplasms, Gastrointestinal Neoplasms, Docetaxel, Oxaliplatin, Fluoruracil, Irinotecan Hydrochloride",TREATMENT,"Irinotecan, 5-FU, Leucovorin, Oxaliplatin, Docetaxel","d1 Irinotecan 180mg/m² every two weeks, d1-2 5-FU 2450 mg/m² every two weeks, d1 Leucovorin 200 mg/m² every two weeks, d1 Oxaliplatin 85 mg/m² every two weeks, d1 Docetaxel 50mg/m2 every two weeks",INTERVENTIONAL,"PHASE2, PHASE3",median overall survival,Neoplasms Adenocarcinoma Stomach Neoplasms Gastrointestinal Neoplasms Digestive System Neoplasms,"PHASE2, PHASE3","irinotecan, 5-fu, leucovorin, oxaliplatin, docetaxel",RECRUITING,0
250871,Montefiore Medical Center,OTHER,SPONSOR,Cinacalcet to Treat Hypercalcemia in Renal Transplant Recipients,"Cinacalcet for Treatment of Persistent Secondary Hyperparathyroidism in Renal Transplant Recipients: Effect on Renal Function, Serum Calcium and Bone Histomorphometry",TERMINATED,2007-01,ADULT OLDER_ADULT,"Secondary Hyperparathyroidism, Hypercalcemia",TREATMENT,Cinacalcet HCl,Unknown,INTERVENTIONAL,"PHASE1, PHASE2",normalization of serum calcium,"Neoplasm Metastasis Hypercalcemia Hyperparathyroidism Hyperparathyroidism, Secondary","PHASE1, PHASE2",cinacalcet hcl,COMPLETED,1
250871,Montefiore Medical Center,OTHER,SPONSOR,Cinacalcet to Treat Hypercalcemia in Renal Transplant Recipients,"Cinacalcet for Treatment of Persistent Secondary Hyperparathyroidism in Renal Transplant Recipients: Effect on Renal Function, Serum Calcium and Bone Histomorphometry",TERMINATED,2007-01,ADULT OLDER_ADULT,"Secondary Hyperparathyroidism, Hypercalcemia",TREATMENT,Cinacalcet HCl,Unknown,INTERVENTIONAL,"PHASE1, PHASE2",normalization of serum calcium,"Neoplasm Metastasis Hypercalcemia Hyperparathyroidism Hyperparathyroidism, Secondary","PHASE1, PHASE2",cinacalcet hcl,UNKNOWN,0
250945,"Fuda Cancer Hospital, Guangzhou",OTHER,SPONSOR,Bioinformation Therapy for Pancreatic Cancer,Combination of Cancer Ablation and Life Information Rehabilitation Therapy for Unresectable Pancreatic Cancer,COMPLETED,2017-09-01,ADULT OLDER_ADULT,Unresectable Pancreatic Cancer,TREATMENT,"Cancer ablation, Life information rehabilitation therapy","Tumors bigger than 2 cm are fit for ablation therapy, percutaneously under CT scan or ultrasound, Each treatment: one bottle solution each day, consecutive 3 months, oral administration",INTERVENTIONAL,"PHASE2, PHASE3",Relief degree of tumors,Pancreatic Neoplasms,"PHASE2, PHASE3","cancer ablation, life information rehabilitation therapy",COMPLETED,1
250945,"Fuda Cancer Hospital, Guangzhou",OTHER,SPONSOR,Bioinformation Therapy for Pancreatic Cancer,Combination of Cancer Ablation and Life Information Rehabilitation Therapy for Unresectable Pancreatic Cancer,COMPLETED,2017-09-01,ADULT OLDER_ADULT,Unresectable Pancreatic Cancer,TREATMENT,"Cancer ablation, Life information rehabilitation therapy","Tumors bigger than 2 cm are fit for ablation therapy, percutaneously under CT scan or ultrasound, Each treatment: one bottle solution each day, consecutive 3 months, oral administration",INTERVENTIONAL,"PHASE2, PHASE3",Relief degree of tumors,Pancreatic Neoplasms,"PHASE2, PHASE3","cancer ablation, life information rehabilitation therapy",COMPLETED,1
250945,"Fuda Cancer Hospital, Guangzhou",OTHER,SPONSOR,Bioinformation Therapy for Pancreatic Cancer,Combination of Cancer Ablation and Life Information Rehabilitation Therapy for Unresectable Pancreatic Cancer,COMPLETED,2017-09-01,ADULT OLDER_ADULT,Unresectable Pancreatic Cancer,TREATMENT,"Cancer ablation, Life information rehabilitation therapy","Tumors bigger than 2 cm are fit for ablation therapy, percutaneously under CT scan or ultrasound, Each treatment: one bottle solution each day, consecutive 3 months, oral administration",INTERVENTIONAL,"PHASE2, PHASE3",Relief degree of tumors,Pancreatic Neoplasms,"PHASE2, PHASE3","cancer ablation, life information rehabilitation therapy",COMPLETED,1
250945,"Fuda Cancer Hospital, Guangzhou",OTHER,SPONSOR,Bioinformation Therapy for Pancreatic Cancer,Combination of Cancer Ablation and Life Information Rehabilitation Therapy for Unresectable Pancreatic Cancer,COMPLETED,2017-09-01,ADULT OLDER_ADULT,Unresectable Pancreatic Cancer,TREATMENT,"Cancer ablation, Life information rehabilitation therapy","Tumors bigger than 2 cm are fit for ablation therapy, percutaneously under CT scan or ultrasound, Each treatment: one bottle solution each day, consecutive 3 months, oral administration",INTERVENTIONAL,"PHASE2, PHASE3",Relief degree of tumors,Pancreatic Neoplasms,"PHASE2, PHASE3","cancer ablation, life information rehabilitation therapy",COMPLETED,1
250945,"Fuda Cancer Hospital, Guangzhou",OTHER,SPONSOR,Bioinformation Therapy for Pancreatic Cancer,Combination of Cancer Ablation and Life Information Rehabilitation Therapy for Unresectable Pancreatic Cancer,COMPLETED,2017-09-01,ADULT OLDER_ADULT,Unresectable Pancreatic Cancer,TREATMENT,"Cancer ablation, Life information rehabilitation therapy","Tumors bigger than 2 cm are fit for ablation therapy, percutaneously under CT scan or ultrasound, Each treatment: one bottle solution each day, consecutive 3 months, oral administration",INTERVENTIONAL,"PHASE2, PHASE3",Relief degree of tumors,Pancreatic Neoplasms,"PHASE2, PHASE3","cancer ablation, life information rehabilitation therapy",COMPLETED,1
250945,"Fuda Cancer Hospital, Guangzhou",OTHER,SPONSOR,Bioinformation Therapy for Pancreatic Cancer,Combination of Cancer Ablation and Life Information Rehabilitation Therapy for Unresectable Pancreatic Cancer,COMPLETED,2017-09-01,ADULT OLDER_ADULT,Unresectable Pancreatic Cancer,TREATMENT,"Cancer ablation, Life information rehabilitation therapy","Tumors bigger than 2 cm are fit for ablation therapy, percutaneously under CT scan or ultrasound, Each treatment: one bottle solution each day, consecutive 3 months, oral administration",INTERVENTIONAL,"PHASE2, PHASE3",Relief degree of tumors,Pancreatic Neoplasms,"PHASE2, PHASE3","cancer ablation, life information rehabilitation therapy",COMPLETED,1
250971,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,SPONSOR,Study of 18F-DCFPyL PET/CT Imaging in Patients With Prostate Cancer,"Study of 18F-DCFPyL PET/CT, for Detection of Radiological Progression in Patients With Metastatic (M+) and Non-metastatic (M0) Castration Resistant Prostate Cancer Receiving Standard Androgen Receptor Targeted Treatment",WITHDRAWN,2019-10-01,ADULT OLDER_ADULT,Prostate Cancer,DIAGNOSTIC,18F-DCFPyL Injection,A single dose of 9±1 mCi (333±37 MBq) IV injection of 18F-DCFPyL,INTERVENTIONAL,"PHASE2, PHASE3",Sensitivity 18F-DCFPyL PET/CT imaging to detect metastatic prostate cancer,Prostatic Neoplasms,"PHASE2, PHASE3",18f-dcfpyl injection,WITHDRAWN,0
251705,Massachusetts General Hospital,OTHER,PRINCIPAL_INVESTIGATOR,Zoledronic Acid to Prevent Bone Loss During Androgen Deprivation Therapy for Prostate Cancer,Zoledronic Acid to Prevent Bone Loss During Androgen Deprivation Therapy for Prostate Cancer,COMPLETED,2003-09,ADULT OLDER_ADULT,"Bone Loss, Prostate Cancer",PREVENTION,"Zoledronic acid, Placebo","Given intravenously once., Given intravenously once.",INTERVENTIONAL,PHASE2,To compare change in bone mineral density from baseline to one year between men treated with Zometa (zoledronic acid) and men treated with placebo.,"Prostatic Neoplasms Bone Diseases, Metabolic",PHASE2,"zoledronic acid, placebo",COMPLETED,1
251705,Massachusetts General Hospital,OTHER,PRINCIPAL_INVESTIGATOR,Zoledronic Acid to Prevent Bone Loss During Androgen Deprivation Therapy for Prostate Cancer,Zoledronic Acid to Prevent Bone Loss During Androgen Deprivation Therapy for Prostate Cancer,COMPLETED,2003-09,ADULT OLDER_ADULT,"Bone Loss, Prostate Cancer",PREVENTION,"Zoledronic acid, Placebo","Given intravenously once., Given intravenously once.",INTERVENTIONAL,PHASE2,To compare change in bone mineral density from baseline to one year between men treated with Zometa (zoledronic acid) and men treated with placebo.,"Prostatic Neoplasms Bone Diseases, Metabolic",PHASE2,"zoledronic acid, placebo",COMPLETED,1
251705,Massachusetts General Hospital,OTHER,PRINCIPAL_INVESTIGATOR,Zoledronic Acid to Prevent Bone Loss During Androgen Deprivation Therapy for Prostate Cancer,Zoledronic Acid to Prevent Bone Loss During Androgen Deprivation Therapy for Prostate Cancer,COMPLETED,2003-09,ADULT OLDER_ADULT,"Bone Loss, Prostate Cancer",PREVENTION,"Zoledronic acid, Placebo","Given intravenously once., Given intravenously once.",INTERVENTIONAL,PHASE2,To compare change in bone mineral density from baseline to one year between men treated with Zometa (zoledronic acid) and men treated with placebo.,"Prostatic Neoplasms Bone Diseases, Metabolic",PHASE2,"zoledronic acid, placebo",COMPLETED,1
251737,Barbara Ann Karmanos Cancer Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine and Docetaxel in Treating Patients With Metastatic Prostate Cancer,Phase II Trial of Capecitabine (Xeloda) and Weekly Docetaxel (Taxotere) in Metastatic Androgen Independent Prostate Carcinoma,COMPLETED,2003-08,ADULT OLDER_ADULT,Prostate Cancer,TREATMENT,"capecitabine, docetaxel","Patients receive docetaxel IV over 30 minutes on days 1, 8, and 15 and oral capecitabine twice daily on days 5-18. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. Patients achieving a complete response (CR) receive 2 additional courses of therapy beyond CR, Patients receive docetaxel IV over 30 minutes on days 1, 8, and 15 and oral capecitabine twice daily on days 5-18. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. Patients achieving a complete response (CR) receive 2 additional courses of therapy beyond CR",INTERVENTIONAL,PHASE2,Response rate by RECIST criteria after every 2 courses,Prostatic Neoplasms,PHASE2,"capecitabine, docetaxel",COMPLETED,1
251927,Amgen,INDUSTRY,SPONSOR,"Phase 1b/2 Study of Carfilzomib in Relapsed Solid Tumors, Multiple Myeloma, or Lymphoma","Phase 1b/2, Multicenter Open-label Study of the Safety and Activity of Carfilzomib in Subjects With Relapsed Solid Tumors, Multiple Myeloma or Lymphoma",COMPLETED,2007-09,ADULT OLDER_ADULT,"Ovarian Cancer, Renal Cancer, Non-small Cell Lung Cancer, Small Cell Lung Cancer, Solid Tumors, Multiple Myeloma, Lymphoma",TREATMENT,"Carfilzomib, Dexamethasone","Administered by intravenous (IV) bolus (2-10 minute) infusion or 30 minute infusion, Administered orally or by IV infusion prior to carfilzomib",INTERVENTIONAL,"PHASE1, PHASE2",Phase 1b: Number of Participants With Dose-limiting Toxicities (DLT) Phase 2: Percentage of Participants With an Overall Response After 4 Treatment Cycles,"Lymphoma Lung Neoplasms Multiple Myeloma Neoplasms, Plasma Cell Ovarian Neoplasms Small Cell Lung Carcinoma Kidney Neoplasms Carcinoma, Renal Cell","PHASE1, PHASE2","carfilzomib, dexamethasone",COMPLETED,1
251995,Tianjin Medical University Cancer Institute and Hospital,OTHER,SPONSOR,Epidermal Growth Factor Receptor (EGFR) Status Based Gefitinib Neoadjuvant Therapy in Non Small Cell Lung Cancer (NSCLC),Phase II Study of EGFR Status Based Gefitinib Neoadjuvant Therapy in NSCLC Patients,SUSPENDED,2009-09,ADULT OLDER_ADULT,Non Small Cell Lung Cancer,TREATMENT,gefitinib,Patients with EGFR mutation in exon 19 or 21 will be administrated with gefitinib as neoadjuvant therapy. Then evaluated for response and then operation for operable patients.,INTERVENTIONAL,PHASE2,Response Rate,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,gefitinib,COMPLETED,1
252089,NYU Langone Health,OTHER,SPONSOR,Psilocybin Therapy in Advanced Cancer,"A Phase 2b, Randomized, Double-blind, Placebo-controlled, Multi-center Study of the Effects of Psilocybin-assisted Psychotherapy on Psychiatric and Existential Distress in Advanced Cancer",RECRUITING,2023-05-24,ADULT OLDER_ADULT,Advanced Cancer,TREATMENT,"Psilocybin 25 mgs, Niacin 100mg, Psychotherapy","One capsule containing 25mg of psilocybin will be administered with water orally. The appearance of psilocybin is Size 2 HPMC opaque., One capsule contains 100mg of niacin will be administered with water orally. The appearance of the active placebo is Size 2 HPMC opaque., The manualized psychotherapy platform will consist of 6 hours of preparatory psychotherapy (prior to the single medication session) and 8 hours of integration psychotherapy following the dosing session.",INTERVENTIONAL,"PHASE2, PHASE3",Change in Structured Interview Guide for the Hamilton Anxiety Scale (HAM-A): SIGH-A Score,Neoplasms,"PHASE2, PHASE3","psilocybin 25 mgs, niacin 100mg, psychotherapy",RECRUITING,0
252301,Hospital Israelita Albert Einstein,OTHER,SPONSOR,Stereotactic Ablative Radiotherapy With Nivolumab for Early-Stage Operable Non-Small Cell Lung Cancer,Stereotactic Ablative Radiotherapy in Combination With Nivolumab for Early-Stage Operable Non-Small Cell Lung Cancer: a Phase 2 Study,COMPLETED,2020-02-12,ADULT OLDER_ADULT,Non-small Cell Lung Cancer Stage I,TREATMENT,nivolumab,Combined neoadjuvant therapy consisting of nivolumab + SABR,INTERVENTIONAL,PHASE2,Percentage of Pathologic complete response (pCR) after Pre-operative therapy,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,nivolumab,COMPLETED,1
252301,Hospital Israelita Albert Einstein,OTHER,SPONSOR,Stereotactic Ablative Radiotherapy With Nivolumab for Early-Stage Operable Non-Small Cell Lung Cancer,Stereotactic Ablative Radiotherapy in Combination With Nivolumab for Early-Stage Operable Non-Small Cell Lung Cancer: a Phase 2 Study,COMPLETED,2020-02-12,ADULT OLDER_ADULT,Non-small Cell Lung Cancer Stage I,TREATMENT,nivolumab,Combined neoadjuvant therapy consisting of nivolumab + SABR,INTERVENTIONAL,PHASE2,Percentage of Pathologic complete response (pCR) after Pre-operative therapy,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,nivolumab,COMPLETED,1
252301,Hospital Israelita Albert Einstein,OTHER,SPONSOR,Stereotactic Ablative Radiotherapy With Nivolumab for Early-Stage Operable Non-Small Cell Lung Cancer,Stereotactic Ablative Radiotherapy in Combination With Nivolumab for Early-Stage Operable Non-Small Cell Lung Cancer: a Phase 2 Study,COMPLETED,2020-02-12,ADULT OLDER_ADULT,Non-small Cell Lung Cancer Stage I,TREATMENT,nivolumab,Combined neoadjuvant therapy consisting of nivolumab + SABR,INTERVENTIONAL,PHASE2,Percentage of Pathologic complete response (pCR) after Pre-operative therapy,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,nivolumab,COMPLETED,1
252518,"University of California, San Francisco",OTHER,SPONSOR_INVESTIGATOR,A Phase II Study of Increased-Dose Abiraterone Acetate in Patients With Castration Resistant Prostate Cancer,A Phase II Study of Increased-Dose Abiraterone Acetate in Patients With Castration Resistant Prostate Cancer (CRPC),COMPLETED,2013-03-13,ADULT OLDER_ADULT,Castration Resistant Prostate Cancer,TREATMENT,"Abiraterone Acetate, Prednisone","Standard dose participants:

1,000 mg, once daily, oral administration.

Dose escalation participants:

1,000 mg, twice daily, oral administration, 5 mg, twice daily, oral administration",INTERVENTIONAL,PHASE2,Number of Patients With PSA Response From Dose Escalation,Prostatic Neoplasms,PHASE2,"abiraterone acetate, prednisone",COMPLETED,1
252618,AstraZeneca,INDUSTRY,Unknown,Fulvestrant (FASLODEX™) as a Treatment in Postmenopausal Women With Estrogen Receptor Positive Breast Cancer,"A Randomized, Open-Label, Multicenter, Phase II Study Comparing the Effects on Proliferation and the Efficacy and Tolerability of Fulvestrant (FASLODEX®) 500 mg With Fulvestrant (FASLODEX®) 250 mg When Given as Neoadjuvant Treatment in Postmenopausal Women With Estrogen Receptor Positive Breast Cancer (T2, 3, 4b, N0-3, M0).",COMPLETED,2004-06,CHILD ADULT OLDER_ADULT,Breast Cancer,TREATMENT,Fulvestrant,250 mg \& 500 mg intramuscular injection,INTERVENTIONAL,PHASE2,Anti-proliferative effect after 4 weeks of treatment.,Breast Neoplasms,PHASE2,fulvestrant,ACTIVE_NOT_RECRUITING,0
252618,AstraZeneca,INDUSTRY,Unknown,Fulvestrant (FASLODEX™) as a Treatment in Postmenopausal Women With Estrogen Receptor Positive Breast Cancer,"A Randomized, Open-Label, Multicenter, Phase II Study Comparing the Effects on Proliferation and the Efficacy and Tolerability of Fulvestrant (FASLODEX®) 500 mg With Fulvestrant (FASLODEX®) 250 mg When Given as Neoadjuvant Treatment in Postmenopausal Women With Estrogen Receptor Positive Breast Cancer (T2, 3, 4b, N0-3, M0).",COMPLETED,2004-06,CHILD ADULT OLDER_ADULT,Breast Cancer,TREATMENT,Fulvestrant,250 mg \& 500 mg intramuscular injection,INTERVENTIONAL,PHASE2,Anti-proliferative effect after 4 weeks of treatment.,Breast Neoplasms,PHASE2,fulvestrant,UNKNOWN,0
253162,Eli Lilly and Company,INDUSTRY,SPONSOR,A Phase II Study of Cetuximab Plus Irinotecan in Patients With EGFR-detectable Metastatic Colorectal Carcinoma,"A Multi-center, Open Label, Non-randomized, Phase II Study to Assess the Activity and Safety of Cetuximab Plus Irinotecan in Subjects With EGFR-detectable Metastatic Colorectal Carcinoma",COMPLETED,2005-10,ADULT OLDER_ADULT,Colorectal Carcinoma,TREATMENT,Cetuximab,Unknown,INTERVENTIONAL,PHASE2,Response according to the RECIST criteria accessed every 6 weeks,Carcinoma Colorectal Neoplasms,PHASE2,cetuximab,RECRUITING,0
253492,M.D. Anderson Cancer Center,OTHER,SPONSOR,Iressa Study in Patients With Salivary Gland Cancer,"Phase II Study of ZD1839 (Iressa®), Epidermal Growth Factor Receptor (EGFR) Tyrosine Kinase Inhibitor in Patients With Advanced, Recurrent or Metastatic Salivary Gland Cancer (IRUSIRES0198)",COMPLETED,2004-05,CHILD ADULT OLDER_ADULT,Salivary Gland Cancer,TREATMENT,Gefitinib,"250 mg by mouth once a day, every day, at about same time in morning.",INTERVENTIONAL,PHASE2,Response Rate of ZD1839 in Patients With Advanced or Recurrent Salivary Gland Cancer Who Are Not Candidate for Curative Surgery or Radiotherapy,Salivary Gland Neoplasms,PHASE2,gefitinib,COMPLETED,1
253594,Swiss Group for Clinical Cancer Research,OTHER,SPONSOR,Capecitabine and Vinorelbine in Treating Older Women Who Have Metastatic Breast Cancer With or Without Bone Involvement,Phase I/II of Capecitabine and Vinorelbine in Elderly Patients (At Least 65 Years) With Metastatic Breast Cancer With or Without Bone Involvement,COMPLETED,1999-03,OLDER_ADULT,Breast Cancer,TREATMENT,"capecitabine, vinorelbine tartrate","Unknown, Unknown",INTERVENTIONAL,"PHASE1, PHASE2",Maximum-tolerated dose (phase I) Response rate at the end of study treatment (phase II) Toxicity at the end of study treatment (phase II),Breast Neoplasms,"PHASE1, PHASE2","capecitabine, vinorelbine tartrate",TERMINATED,0
254329,Instituto de Investigación Sanitaria Aragón,OTHER,PRINCIPAL_INVESTIGATOR,Assessment of Direct Biomarkers of Aspirin Action to Develop a Precision Chemoprevention Therapy of Colorectal Cancer,Assessment of Direct Biomarkers of Aspirin Action to Develop a Precision Chemoprevention Therapy of Colorectal Cancer,UNKNOWN,2019-05-06,ADULT OLDER_ADULT,Colorectal Cancer,PREVENTION,acetylsalicylic acid,"Different dosage effect over platelet COX enzymes, non- neoplastic and neoplastic colonic tissues used as biomarkers of clinical efficacy in CRC chemoprevention",INTERVENTIONAL,PHASE2,Assessment of changes in acetylation levels of COX enzymes in platelets and non-neoplastic and neoplastic colonic tissues,Colorectal Neoplasms,PHASE2,acetylsalicylic acid,WITHDRAWN,0
255113,Chang Gung Memorial Hospital,OTHER,SPONSOR,Effect of Astragalus-based Formula: Qingshu-Yiqi-Tang on Modulating Immune Alterations in Lung Cancer Patients,"Efficacy Study of Chinese Medicine on Modulating Immune Alterations in Advanced Stage, Non-small Cell Lung Cancer Patients Receiving 1st Line Doublet Chemotherapy and 2nd Line Target Therapy",UNKNOWN,2009-05,ADULT OLDER_ADULT,"Carcinoma, Non-Small-Cell Lung",SUPPORTIVE_CARE,Astagalus-based Formula: Qingshu-Yiqi-Tang,"Plus astragalus-based formula: Qingshu-Yiqi-Tang 7.2gm BID during 1st line chemotherapy and 2nd line target therapy.

maximal for 6 months",INTERVENTIONAL,"PHASE2, PHASE3",overall survival,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung","PHASE2, PHASE3",astagalus-based formula: qingshu-yiqi-tang,UNKNOWN,0
255232,University of Alabama at Birmingham,OTHER,PRINCIPAL_INVESTIGATOR,Olanzapine for the Treatment of Chronic Nausea and/or Vomiting in Advanced Cancer Patients,"Olanzapine for the Treatment of Chronic Nausea and/or Vomiting, Unrelated to Chemotherapy or Radiation, in Advanced Cancer Patient - A Pilot, Dose-Finding Trial",COMPLETED,2017-07-12,ADULT OLDER_ADULT,Advanced Cancer,TREATMENT,"Olanzapine, Placebo","Olanzapine is used as an anti-emetic., The placebo is a non-anti-emetic.",INTERVENTIONAL,"PHASE2, PHASE3",Mean Nausea Scores,Neoplasms Nausea Vomiting,"PHASE2, PHASE3","olanzapine, placebo",COMPLETED,1
255232,University of Alabama at Birmingham,OTHER,PRINCIPAL_INVESTIGATOR,Olanzapine for the Treatment of Chronic Nausea and/or Vomiting in Advanced Cancer Patients,"Olanzapine for the Treatment of Chronic Nausea and/or Vomiting, Unrelated to Chemotherapy or Radiation, in Advanced Cancer Patient - A Pilot, Dose-Finding Trial",COMPLETED,2017-07-12,ADULT OLDER_ADULT,Advanced Cancer,TREATMENT,"Olanzapine, Placebo","Olanzapine is used as an anti-emetic., The placebo is a non-anti-emetic.",INTERVENTIONAL,"PHASE2, PHASE3",Mean Nausea Scores,Neoplasms Nausea Vomiting,"PHASE2, PHASE3","olanzapine, placebo",COMPLETED,1
255340,"Boston VA Research Institute, Inc.",OTHER,PRINCIPAL_INVESTIGATOR,Safety and Efficacy Study of Single Weekly Bortezomib in Newly Diagnosed Multiple Myeloma,Phase II Study to Evaluate Efficacy and Safety of Single Weekly Administration of Bortezomib in Newly Diagnosed Multiple Myeloma,COMPLETED,2007-05,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,Bortezomib,"Bortezomib will be administered at a dose of 1.6 mg/m2 IV push. Treatment will be administered once a week for four weeks followed by one week off. This 5 week period is considered a treatment cycle.

Dexamethasone will also be administered at a dose of 40mg on the day of and day after each dose of bortezomib, with a dose reduction to 20mg on the same schedule if the patient cannot tolerate the higher dose of dexamethasone.",INTERVENTIONAL,PHASE2,"Number of Participants at Each Response Category (Stable Disease, Minimal Response, Partial Response, Very Good Partial Response, Near Complete Response/Complete Resonse)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,bortezomib,COMPLETED,1
255340,"Boston VA Research Institute, Inc.",OTHER,PRINCIPAL_INVESTIGATOR,Safety and Efficacy Study of Single Weekly Bortezomib in Newly Diagnosed Multiple Myeloma,Phase II Study to Evaluate Efficacy and Safety of Single Weekly Administration of Bortezomib in Newly Diagnosed Multiple Myeloma,COMPLETED,2007-05,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,Bortezomib,"Bortezomib will be administered at a dose of 1.6 mg/m2 IV push. Treatment will be administered once a week for four weeks followed by one week off. This 5 week period is considered a treatment cycle.

Dexamethasone will also be administered at a dose of 40mg on the day of and day after each dose of bortezomib, with a dose reduction to 20mg on the same schedule if the patient cannot tolerate the higher dose of dexamethasone.",INTERVENTIONAL,PHASE2,"Number of Participants at Each Response Category (Stable Disease, Minimal Response, Partial Response, Very Good Partial Response, Near Complete Response/Complete Resonse)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,bortezomib,COMPLETED,1
255340,"Boston VA Research Institute, Inc.",OTHER,PRINCIPAL_INVESTIGATOR,Safety and Efficacy Study of Single Weekly Bortezomib in Newly Diagnosed Multiple Myeloma,Phase II Study to Evaluate Efficacy and Safety of Single Weekly Administration of Bortezomib in Newly Diagnosed Multiple Myeloma,COMPLETED,2007-05,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,Bortezomib,"Bortezomib will be administered at a dose of 1.6 mg/m2 IV push. Treatment will be administered once a week for four weeks followed by one week off. This 5 week period is considered a treatment cycle.

Dexamethasone will also be administered at a dose of 40mg on the day of and day after each dose of bortezomib, with a dose reduction to 20mg on the same schedule if the patient cannot tolerate the higher dose of dexamethasone.",INTERVENTIONAL,PHASE2,"Number of Participants at Each Response Category (Stable Disease, Minimal Response, Partial Response, Very Good Partial Response, Near Complete Response/Complete Resonse)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,bortezomib,COMPLETED,1
255340,"Boston VA Research Institute, Inc.",OTHER,PRINCIPAL_INVESTIGATOR,Safety and Efficacy Study of Single Weekly Bortezomib in Newly Diagnosed Multiple Myeloma,Phase II Study to Evaluate Efficacy and Safety of Single Weekly Administration of Bortezomib in Newly Diagnosed Multiple Myeloma,COMPLETED,2007-05,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,Bortezomib,"Bortezomib will be administered at a dose of 1.6 mg/m2 IV push. Treatment will be administered once a week for four weeks followed by one week off. This 5 week period is considered a treatment cycle.

Dexamethasone will also be administered at a dose of 40mg on the day of and day after each dose of bortezomib, with a dose reduction to 20mg on the same schedule if the patient cannot tolerate the higher dose of dexamethasone.",INTERVENTIONAL,PHASE2,"Number of Participants at Each Response Category (Stable Disease, Minimal Response, Partial Response, Very Good Partial Response, Near Complete Response/Complete Resonse)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,bortezomib,TERMINATED,0
255340,"Boston VA Research Institute, Inc.",OTHER,PRINCIPAL_INVESTIGATOR,Safety and Efficacy Study of Single Weekly Bortezomib in Newly Diagnosed Multiple Myeloma,Phase II Study to Evaluate Efficacy and Safety of Single Weekly Administration of Bortezomib in Newly Diagnosed Multiple Myeloma,COMPLETED,2007-05,ADULT OLDER_ADULT,Multiple Myeloma,TREATMENT,Bortezomib,"Bortezomib will be administered at a dose of 1.6 mg/m2 IV push. Treatment will be administered once a week for four weeks followed by one week off. This 5 week period is considered a treatment cycle.

Dexamethasone will also be administered at a dose of 40mg on the day of and day after each dose of bortezomib, with a dose reduction to 20mg on the same schedule if the patient cannot tolerate the higher dose of dexamethasone.",INTERVENTIONAL,PHASE2,"Number of Participants at Each Response Category (Stable Disease, Minimal Response, Partial Response, Very Good Partial Response, Near Complete Response/Complete Resonse)","Multiple Myeloma Neoplasms, Plasma Cell",PHASE2,bortezomib,COMPLETED,1
